COD_ENSE;COD_GRADO;Nombre Oficial del Grado 
110;1;1 Basico 
110;2;2Basico
110;3;3 Basico 
110;4;4Basico 
110;5;5Basico
110;6;6Basico 
110;7;7Basico 
110;8;8Basico 
160;1;Alfabetizacion 
160;2;Nivel Basico 1 (primero a segundo basico)
160;3;Nivel Basico 2 (quinto a sexto basico) 
160;4;Nivel Basico 3 (septimo a octavo basico) 
160;5;Nivel Tecnico 
161;1;Alfabetizacion 
161;2;Nivel Basico 1 (primer a cuarto  basico) 
161;3;Nivel Basico 2 (quinto a sexto basico) 
161;4;Nivel Basico 3 (sexto a octavo basico) 
161;5;Nivel Tecnico 
163;1;Alfabetizacion 
163;2;Nivel Basico 1 (primer a cuarto basico) 
163;3;Nivel Basico 2 (quinto a sexto basico) 
163;4;Nivel Basico 3 (septimo a octavo basico) 
163;5;Nivel Tecnico 
165;1;Nivel Basico 1 (primer a cuarto basico) 
165;2;Nivel Basico 2 (quinto a sexto basico) 
165;3;Nivel Basico 3 (septimo a octavo basico) 
167;2;Nivel Basico 2 (quinto a sexto basico) 
167;3;Nivel Basico 3 (septimo a octavo basico) 
310;1;Primer medio 
